title,description,details,hospital_name,treatment_name,Sub Treatments,price,original_price,currency,duration,treatment_category,anaesthesia,commission,featured,status,doctor_name,is_le_package,includes,image_file_id,hospital_location,category,hospital_country,translation_title,translation_description,translation_details,translation
黄金微针 POTENZA,黄金微针治疗,45w 黄金微针,,Facial Plastic Surgery,"Microneedling,Skin Rejuvenation",45,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,Gold Microneedling POTENZA,Gold microneedling treatment,45w gold microneedling,ZH
黄金微针 POTENZA+ 外泌体,黄金微针与外泌体治疗,Asce/juvelook 59w 黄金微针,,Facial Plastic Surgery,"Microneedling,Exosome Therapy,Skin Rejuvenation",59,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,Gold Microneedling POTENZA+ Exosome,Gold microneedling with exosome treatment,Asce/juvelook 59w gold microneedling,ZH
黄金微针 POTENZA+V-LASER,黄金微针与再生激光治疗,再生激光 59w 黄金微针,,Facial Plastic Surgery,"Microneedling,Laser Treatment,Skin Rejuvenation",59,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,Gold Microneedling POTENZA+V-LASER,Gold microneedling with regenerative laser treatment,Regenerative laser 59w gold microneedling,ZH
皮秒激光,皮秒激光治疗,皮秒激光 39w,,Laser Resurfacing,"Laser Treatment,Skin Rejuvenation",39,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,Picosecond Laser,Picosecond laser treatment,Picosecond laser 39w,ZH
美白激光,美白激光治疗,美白激光 15w,,Laser Resurfacing,"Laser Treatment,Skin Whitening",15,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,Whitening Laser,Whitening laser treatment,Whitening laser 15w,ZH
美白激光+LDM,美白激光结合LDM治疗,美白激光 LDM 19w,,Laser Resurfacing,"Laser Treatment,Skin Whitening,LDM",19,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,Whitening Laser + LDM,Whitening laser combined with LDM treatment,Whitening laser LDM 19w,ZH
V-LASER (再生激光),V-LASER再生激光治疗,再生激光 25w,,Laser Resurfacing,"Laser Treatment,Skin Rejuvenation",25,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,V-LASER (Regenerative Laser),V-LASER regenerative laser treatment,Regenerative laser 25w,ZH
面部干细胞注射 30CC,面部干细胞注射治疗,30CC 面部干细胞注射 90w,,Facial Plastic Surgery,"Stem Cell Therapy,Facial Injection",90,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,Facial Stem Cell Injection 30CC,Facial stem cell injection treatment,30CC facial stem cell injection 90w,ZH
面部干细胞注射 60CC,面部干细胞注射治疗,60CC 面部干细胞注射 150w,,Facial Plastic Surgery,"Stem Cell Therapy,Facial Injection",150,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,Facial Stem Cell Injection 60CC,Facial stem cell injection treatment,60CC facial stem cell injection 150w,ZH
面部干细胞注射 120CC,面部干细胞注射治疗,120CC 面部干细胞注射 250w,,Facial Plastic Surgery,"Stem Cell Therapy,Facial Injection",250,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,Facial Stem Cell Injection 120CC,Facial stem cell injection treatment,120CC facial stem cell injection 250w,ZH
静脉+面部干细胞注射 240CC,静脉和面部干细胞注射治疗,240CC 静脉和面部干细胞注射 400w,,Facial Plastic Surgery,"Stem Cell Therapy,Facial Injection,Intravenous Treatment",400,,USD,,Cosmetic Procedure,,,FALSE,active,,FALSE,,,,Aesthetic Treatment,,Intravenous + Facial Stem Cell Injection 240CC,Intravenous and facial stem cell injection treatment,240CC intravenous and facial stem cell injection 400w,ZH
综合维他命营养针,综合维他命营养针注射,综合维他命营养针 15w,,Wellness,"Nutritional Injection,Vitamin Therapy",15,,USD,,Wellness Treatment,,,FALSE,active,,FALSE,,,,Nutritional Treatment,,Comprehensive Vitamin Nutritional Injection,Comprehensive vitamin nutritional injection,Comprehensive vitamin nutritional injection 15w,ZH
抗氢化营养针注射,抗氢化营养针注射治疗,抗氢化营养针 12w,,Wellness,"Nutritional Injection,Anti-Aging Therapy",12,,USD,,Wellness Treatment,,,FALSE,active,,FALSE,,,,Nutritional Treatment,,Anti-Hydrogenation Nutritional Injection,Anti-hydrogenation nutritional injection treatment,Anti-hydrogenation nutritional injection 12w,ZH
大忒针,大忒针注射,大忒针 12w,,Wellness,Nutritional Injection,12,,USD,,Wellness Treatment,,,FALSE,active,,FALSE,,,,Nutritional Treatment,,Da Te Needle,Da Te needle injection,Da Te needle 12w,ZH
美白针,美白针注射,美白针 10w,,Wellness,"Nutritional Injection,Skin Whitening",10,,USD,,Wellness Treatment,,,FALSE,active,,FALSE,,,,Nutritional Treatment,,Whitening Injection,Whitening injection,Whitening injection 10w,ZH
维他命营养针,维他命营养针注射,维他命营养针 10w,,Wellness,"Nutritional Injection,Vitamin Therapy",10,,USD,,Wellness Treatment,,,FALSE,active,,FALSE,,,,Nutritional Treatment,,Vitamin Nutritional Injection,Vitamin nutritional injection,Vitamin nutritional injection 10w,ZH
