title,description,details,hospital_name,treatment_name,Sub Treatments,price,original_price,currency,duration,treatment_category,anaesthesia,commission,featured,status,doctor_name,is_le_package,includes,image_file_id,hospital_location,category,hospital_country,translation_title,translation_description,translation_details,translation
Basic Hydration Calm Drip,Basic hydration and calming IV drip,Hydration and relaxation treatment,CarePlus Clinic,IV Therapy,"Hydration,Relaxation",80,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
Liver Detox Drip,Specialized IV drip for liver detoxification,Liver cleansing and detox treatment,CarePlus Clinic,Detox Retreats,"Liver Detox,Wellness",280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
Slimming Drip,IV drip designed for weight management and slimming,Weight loss and metabolism boost treatment,CarePlus Clinic,IV Therapy,"Weight Loss,Metabolism",350,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
Skin Health Drip,IV drip focused on skin health and rejuvenation,Skin nutrition and health enhancement treatment,CarePlus Clinic,IV Therapy,"Skin Health,Beauty",280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
Body Reset Energy Booster & Recovery,IV drip for energy restoration and body recovery,Energy boost and physical recovery treatment,CarePlus Clinic,IV Therapy,"Energy Boost,Recovery",380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
Essential Multivi & Elderly,IV drip tailored for elderly and essential multivitamin support,Multivitamin and senior health support treatment,CarePlus Clinic,IV Therapy,"Multivitamin,Senior Health",250,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
NAD+,NAD+ IV therapy for cellular health and anti-aging,Nicotinamide Adenine Dinucleotide (NAD+) treatment,CarePlus Clinic,Anti-Aging Therapy,"Cellular Health,Anti-Aging",1200,1800,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
Peak Performance All Inclusive Vitamin,Comprehensive vitamin IV drip for peak performance,High-performance vitamin and nutrient treatment,CarePlus Clinic,IV Therapy,"Performance,Vitamin Boost",1200,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
"Exosome, Anti-Aging & Restore",Advanced IV drip with exosome therapy for anti-aging and restoration,Exosome-based cellular restoration and anti-aging treatment,CarePlus Clinic,Anti-Aging Therapy,"Exosome Therapy,Cellular Restoration",1500,3500,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
High Dose Vitamin C Premium & Restore,Premium high-dose vitamin C IV drip for restoration,High concentration vitamin C treatment for health restoration,CarePlus Clinic,IV Therapy,"Vitamin C,Immune Boost",950,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
Herpes Fighter,IV drip targeting herpes virus management,Specialized treatment for herpes virus support,CarePlus Clinic,IV Therapy,"Viral Management,Immune Support",400,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
HPV Fighter,IV drip designed to support HPV management,Specialized treatment for HPV virus support,CarePlus Clinic,IV Therapy,"Viral Management,Immune Support",380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drip,Malaysia,,,,
